[2025-03-11 17:17:37] ALLOWED: IP=202.195.182.148, Reason=Access granted
[2025-03-11 17:17:37] ALLOWED: IP=176.214.70.162, Reason=Access granted
[2025-03-11 17:17:37] BLOCKED: IP=153.161.222.192, Reason=Insufficient security level
[2025-03-11 17:17:37] ALLOWED: IP=58.252.107.82, Reason=Access granted
[2025-03-11 17:17:37] ALLOWED: IP=198.101.77.42, Reason=Access granted
[2025-03-11 17:17:37] BLOCKED: IP=205.192.6.147, Reason=Insufficient security level
[2025-03-11 17:17:37] ALLOWED: IP=186.117.209.152, Reason=Access granted
[2025-03-11 17:17:37] BLOCKED: IP=227.30.212.110, Reason=Insufficient security level
[2025-03-11 17:17:37] ALLOWED: IP=97.166.140.84, Reason=Access granted
[2025-03-11 17:17:37] ALLOWED: IP=40.83.115.134, Reason=Access granted
[2025-03-11 17:17:37] ALLOWED: IP=192.168.1.1, Reason=Access granted
[2025-03-11 17:17:37] ALLOWED: IP=10.0.0.10, Reason=Access granted
[2025-03-11 17:17:38] ALLOWED: IP=202.195.182.148, Reason=Access granted
[2025-03-11 17:17:38] ALLOWED: IP=176.214.70.162, Reason=Access granted
[2025-03-11 17:17:38] ALLOWED: IP=153.161.222.192, Reason=Access granted
[2025-03-11 17:17:38] BLOCKED: IP=58.252.107.82, Reason=Insufficient security level
[2025-03-11 17:17:38] ALLOWED: IP=198.101.77.42, Reason=Access granted
[2025-03-11 17:17:38] BLOCKED: IP=205.192.6.147, Reason=Insufficient security level
[2025-03-11 17:17:38] BLOCKED: IP=186.117.209.152, Reason=Insufficient security level
[2025-03-11 17:17:38] ALLOWED: IP=227.30.212.110, Reason=Access granted
[2025-03-11 17:17:38] BLOCKED: IP=97.166.140.84, Reason=Insufficient security level
[2025-03-11 17:17:38] ALLOWED: IP=40.83.115.134, Reason=Access granted
[2025-03-11 17:17:38] ALLOWED: IP=192.168.1.1, Reason=Access granted
[2025-03-11 17:17:38] ALLOWED: IP=10.0.0.10, Reason=Access granted
[2025-03-11 17:17:39] BLOCKED: IP=202.195.182.148, Reason=Insufficient security level
[2025-03-11 17:17:39] ALLOWED: IP=176.214.70.162, Reason=Access granted
[2025-03-11 17:17:39] ALLOWED: IP=153.161.222.192, Reason=Access granted
[2025-03-11 17:17:39] ALLOWED: IP=58.252.107.82, Reason=Access granted
[2025-03-11 17:17:39] BLOCKED: IP=198.101.77.42, Reason=Insufficient security level
[2025-03-11 17:17:39] BLOCKED: IP=205.192.6.147, Reason=Insufficient security level
[2025-03-11 17:17:39] ALLOWED: IP=186.117.209.152, Reason=Access granted
[2025-03-11 17:17:39] ALLOWED: IP=227.30.212.110, Reason=Access granted
[2025-03-11 17:17:39] ALLOWED: IP=97.166.140.84, Reason=Access granted
[2025-03-11 17:17:39] ALLOWED: IP=40.83.115.134, Reason=Access granted
[2025-03-11 17:17:39] ALLOWED: IP=192.168.1.1, Reason=Access granted
[2025-03-11 17:17:39] ALLOWED: IP=10.0.0.10, Reason=Access granted
[2025-12-17 12:00:54] ALLOWED: IP=192.168.56.101, Reason=Access granted
